iter	Passed	Remaining
1440	2273	5615
1441	2275	5613
1442	2276	5612
1443	2278	5611
1444	2279	5609
1445	2281	5607
1446	2283	5605
1447	2284	5604
1448	2286	5602
1449	2288	5601
1450	2289	5599
1451	2290	5597
1452	2292	5595
1453	2293	5593
1454	2294	5591
1455	2296	5589
1456	2297	5587
1457	2299	5585
1458	2300	5584
1459	2302	5582
1460	2303	5580
1461	2305	5578
1462	2306	5576
1463	2308	5574
1464	2309	5572
1465	2310	5570
1466	2312	5568
1467	2313	5567
1468	2315	5565
1469	2316	5563
1470	2318	5561
1471	2319	5559
1472	2321	5557
1473	2322	5555
1474	2323	5553
1475	2325	5551
1476	2326	5549
1477	2327	5547
1478	2329	5545
1479	2330	5543
1480	2332	5541
1481	2333	5539
1482	2334	5537
1483	2336	5535
1484	2337	5533
1485	2339	5531
1486	2340	5529
1487	2342	5527
1488	2343	5526
1489	2345	5524
1490	2346	5522
1491	2347	5520
1492	2349	5518
1493	2350	5516
1494	2352	5514
1495	2353	5512
1496	2354	5510
1497	2356	5508
1498	2357	5506
1499	2359	5504
1500	2360	5502
1501	2361	5500
1502	2363	5498
1503	2364	5496
1504	2366	5494
1505	2367	5493
1506	2369	5491
1507	2370	5489
1508	2372	5487
1509	2373	5485
1510	2374	5483
1511	2376	5481
1512	2377	5480
1513	2379	5478
1514	2380	5476
1515	2382	5474
1516	2383	5472
1517	2384	5470
1518	2386	5469
1519	2388	5468
1520	2390	5467
1521	2391	5466
1522	2393	5464
1523	2395	5463
1524	2397	5462
1525	2398	5460
1526	2400	5459
1527	2401	5457
1528	2403	5456
1529	2405	5455
1530	2407	5455
1531	2409	5455
1532	2411	5454
1533	2413	5453
1534	2415	5451
1535	2416	5450
1536	2418	5448
1537	2419	5447
1538	2421	5445
1539	2423	5444
1540	2425	5443
1541	2426	5442
1542	2433	5451
1543	2444	5472
1544	2447	5472
1545	2452	5478
1546	2453	5477
1547	2455	5476
1548	2457	5474
1549	2458	5473
1550	2460	5471
1551	2461	5469
1552	2463	5467
1553	2464	5465
1554	2466	5463
1555	2467	5461
1556	2468	5459
1557	2470	5457
1558	2471	5455
1559	2473	5453
1560	2474	5451
1561	2475	5449
1562	2477	5447
1563	2478	5445
1564	2480	5443
1565	2481	5441
1566	2483	5440
1567	2484	5438
1568	2486	5436
1569	2487	5434
1570	2489	5432
1571	2490	5430
1572	2491	5429
1573	2493	5427
1574	2494	5425
1575	2496	5423
1576	2497	5421
1577	2499	5419
1578	2500	5417
1579	2502	5415
1580	2503	5413
1581	2505	5412
1582	2506	5410
1583	2508	5408
1584	2509	5406
1585	2511	5405
1586	2512	5403
1587	2514	5401
1588	2515	5399
1589	2516	5397
1590	2518	5395
1591	2519	5393
1592	2521	5391
1593	2522	5389
1594	2523	5388
1595	2525	5386
1596	2526	5384
1597	2528	5382
1598	2529	5380
1599	2531	5378
1600	2532	5376
1601	2533	5374
1602	2535	5372
1603	2536	5370
1604	2538	5368
1605	2539	5367
1606	2541	5365
1607	2542	5363
1608	2543	5361
1609	2545	5359
1610	2546	5357
1611	2548	5355
1612	2549	5353
1613	2551	5352
1614	2552	5350
1615	2554	5348
1616	2555	5346
1617	2557	5345
1618	2558	5343
1619	2559	5341
1620	2561	5339
1621	2562	5337
1622	2564	5335
1623	2565	5333
1624	2567	5332
1625	2568	5330
1626	2570	5327
1627	2571	5325
1628	2572	5323
1629	2574	5321
1630	2575	5320
1631	2576	5317
1632	2578	5315
1633	2579	5313
1634	2580	5311
1635	2582	5310
1636	2584	5308
1637	2585	5306
1638	2586	5304
1639	2588	5302
1640	2589	5301
1641	2591	5299
1642	2593	5298
1643	2594	5296
1644	2595	5294
1645	2597	5292
1646	2598	5290
1647	2600	5289
1648	2602	5287
1649	2604	5286
1650	2605	5285
1651	2607	5284
1652	2609	5283
1653	2610	5281
1654	2612	5280
1655	2614	5278
1656	2615	5277
1657	2617	5275
1658	2618	5274
1659	2620	5272
1660	2622	5270
1661	2623	5269
1662	2625	5267
1663	2626	5266
1664	2629	5266
1665	2630	5264
1666	2632	5262
1667	2633	5261
1668	2635	5259
1669	2636	5257
1670	2637	5255
1671	2639	5253
1672	2640	5251
1673	2642	5250
1674	2643	5248
1675	2645	5246
1676	2646	5244
1677	2648	5244
1678	2650	5242
1679	2651	5240
